IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE
TAB,Tobago-Crown Point Airport,Scarborough,Tobago,TT,11.1497,-60.8322
POS,Piarco International Airport,Port of Spain,Tunapuna/Piarco,TT,10.5954,-61.3372
NGD,Captain Auguste George Airport,Anegada,,VG,18.7272,-64.3297
EIS,Terrance B. Lettsome International Airport,Road Town,,VG,18.4448,-64.543
VIJ,Virgin Gorda Airport,Spanish Town,,VG,18.4464,-64.4275
SVD,Argyle International Airport,Argyle,Saint-George,VC,13.16,-61.148667
BQU,J F Mitchell Airport,Bequia,Grenadines,VC,12.9884,-61.262
CIW,Canouan Airport,Canouan,Grenadines,VC,12.699,-61.3424
MQS,Mustique Airport,Mustique Island,Grenadines,VC,12.8879,-61.1802
UNI,Union Island International Airport,Union Island,Grenadines,VC,12.60013,-61.41195
BDA,L.F. Wade International International Airport,Hamilton,Saint-Georgeʼs,BM,32.364,-64.6787
ALA,Almaty International Airport,Almaty,Almaty-Oblysy,KZ,43.3521,77.0405
BXH,Balkhash Airport,Balkhash,Qaraghandy,KZ,46.8933,75.005
USJ,Usharal Airport,Usharal,Almaty-Oblysy,KZ,46.19028,80.83139
BXJ,Boralday Airport,Aima Ata,Almaty-Oblysy,KZ,43.3526,76.8837
TDK,Taldykorgan Airport,Taldy Kurgan,Almaty-Oblysy,KZ,45.1262,78.447
NQZ,Nursultan Nazarbayev International Airport,Astana,Aqmola,KZ,51.0222,71.4669
KOV,Kokshetau Airport,Kokshetau,Aqmola,KZ,53.3291,69.5946
PPK,Petropavlosk International Airport,Petropavlosk,Soltuestik-Qazaqstan,KZ,54.7747,69.1839
DMB,Aulie-ata International Airport,Taraz,Zhambyl,KZ,42.8536,71.3036
CIT,Shymkent Airport,Shymkent,Ongtuestik-Qazaqstan,KZ,42.3642,69.4789
HSA,Turkistan International Airport,Turkistan,Ongtuestik-Qazaqstan,KZ,43.30667,68.55017
DZN,Zhezkazgan Airport,Zhezkazgan,Qaraghandy,KZ,47.7083,67.7333
KGF,Sary-Arka International Airport,Karaganda,Qaraghandy,KZ,49.6708,73.3344
BXY,Krainiy Airport,Baikonur,Baikonur,KZ,45.622,63.215
KZO,Korkyt Ata Airport,Kzyl-Orda,Qyzylorda,KZ,44.7069,65.5925
URA,Oral Ak Zhol International Airport,Uralsk,West Kazakhstan,KZ,51.1508,51.5431
UKK,Ust-Kamennogorsk Airport,Ust Kamenogorsk,East Kazakhstan,KZ,50.0366,82.4942
PWQ,Pavlodar International Airport,Pavlodar,Pavlodar,KZ,52.195,77.0739
PLX,Semey International Airport,Semey,East Kazakhstan,KZ,50.3513,80.2344
SCO,Aktau International Airport,Aktau,Mangghystau,KZ,43.8601,51.092
GUW,Atyrau International Airport,Atyrau,Atyrau,KZ,47.1219,51.8214
AKX,Aktobe Aliya Moldagulova International Airport,Aktyubinsk,Aqtöbe,KZ,50.2458,57.2067
KSN,Kostanay International Airport,Kostanay,Qostanay,KZ,53.2069,63.5503
GYD,Heydar Aliyev International Airport,Baku,Bakı,AZ,40.4675,50.0467
GNJ,Ganja Airport,Ganja,Gəncə-City,AZ,40.73883,46.32
LLK,Lankaran International Airport,Lankaran,Lənkəran,AZ,38.7464,48.818
NAJ,Nakhchivan Airport,Nakhchivan,Naxçıvan Muxtar Respublikası,AZ,39.1888,45.4584
GBB,Gabala International Airport,Gabala,Qǝbǝlǝ,AZ,40.82667,47.7125
ZTU,Zaqatala International Airport,Zaqatala,Zaqatala,AZ,41.56222,46.66722
ZZE,Zangilan International Airport,Zangilan,Zəngilan,AZ,39.094414,46.734098
YLV,Yevlakh Airport,Yevlakh,Yevlax-City,AZ,40.6319,47.1419
ZXT,Zabrat Airport,Baku,Bakı,AZ,40.49511,49.97697
IKU,Issyk-Kul International Airport,Tamchy,Issyk-Kul,KG,42.5883,76.7133
BSZ,Manas International Airport,Bishkek,Chuey,KG,43.0613,74.4776
OSS,Osh Airport,Osh,Osh,KG,40.609,72.7933
IKG,Karakol Airport,Karakol,Issyk-Kul,KG,42.5081,78.4078
LWN,Gyumri Shirak Airport,Gyumri,Shirak,AM,40.7504,43.8593
EVN,Zvartnots International Airport,Yerevan,,AM,40.1473,44.3959
UKG,Ust-Kuyga Airport,Ust-Kuyga,Chukot,RU,70.011,135.645
TLK,Talakan Airport,Lenskiy Ulus,Sakha,RU,59.88167,111.0455
ADH,Aldan Airport,Aldan,Chukot,RU,58.6028,125.409
YKS,Yakutsk Airport,Yakutsk,Chukot,RU,62.0933,129.771
NER,Chulman Neryungri Airport,Chulman,Chukot,RU,56.9139,124.914
MQJ,Moma Airport,Honuu,Chukot,RU,66.45086,143.26155
KDY,Tyopliy Klyuch Airport,Tyopliy Klyuch,Chukot,RU,62.789,136.855
GYG,Magan Airport,Magan,Chukot,RU,62.10348,129.54529
OLZ,Olyokminsk Airport,Olyokminsk,Chukot,RU,60.3975,120.471
USR,Ust-Nera Airport,Ust-Nera,Chukot,RU,64.55,143.11501
UMS,Ust-Maya Airport,Ust-Maya,Chukot,RU,60.357,134.435
VHV,Verkhnevilyuisk Airport,Verkhnevilyuisk,Chukot,RU,63.45806,120.26917
NYR,Nyurba Airport,Nyurba,Chukot,RU,63.295,118.337
SUY,Suntar Airport,Suntar,Chukot,RU,62.185,117.635
VYI,Vilyuisk Airport,Vilyuisk,Chukot,RU,63.75667,121.69334
ULK,Lensk Airport,Lensk,Chukot,RU,60.7206,114.826
ONK,Olenyok Airport,Olenyok,Chukot,RU,68.515,112.48
PYJ,Polyarny Airport,Yakutia,Chukot,RU,66.4004,112.03
MJZ,Mirny Airport,Mirny,Chukot,RU,62.5347,114.039
SYS,Saskylakh Airport,Saskylakh,Chukot,RU,71.9279,114.08
BGN,Belaya Gora Airport,Belaya Gora,Sakha Republic,RU,68.557,146.23117
CKH,Chokurdakh Airport,Chokurdah,Chukot,RU,70.6231,147.90199
CYX,Cherskiy Airport,Cherskiy,Chukot,RU,68.7406,161.338
IKS,Tiksi Airport,Tiksi,Chukot,RU,71.6977,128.903
ZKP,Zyryanka Airport,Zyryanka,Chukot,RU,65.7367,150.705
ZIX,Zhigansk Airport,Zhigansk,Chukot,RU,66.7965,123.361
KUT,Kopitnari Airport,Kutaisi,,GE,42.1767,42.4826
BUS,Batumi International Airport,Batumi,Ajaria,GE,41.6103,41.5997
SUI,Sukhumi Dranda Airport,Sukhumi,Abkhazia,GE,42.8582,41.1281
TBS,Tbilisi International Airport,Tbilisi,,GE,41.6692,44.9547
BQS,Ignatyevo Airport,Blagoveschensk,Amur,RU,50.4254,127.412
GDG,Magdagachi Airport,Magdagachi,Amur,RU,53.4733,125.795
TYD,Tynda Airport,Tynda,Amur,RU,55.2842,124.779
KHV,Khabarovsk-Novy Airport,Khabarovsk,Khabarovsk,RU,48.528,135.188
KXK,Komsomolsk-on-Amur Airport,Komsomolsk-on-Amur,Khabarovsk,RU,50.409,136.93401
GVN,Maygatka Airport.,Sovetskaya Gavan,Khabarovsk,RU,48.927,140.034
DYR,Ugolny Airport,Anadyr,Chukotka,RU,64.7349,177.741
PVS,Provideniya Bay Airport,Chukotka,Chukotka,RU,64.3781,-173.243
KPW,Keperveem Airport,Keperveem,Chukotka,RU,67.845,166.14
GDX,Sokol Airport,Magadan,Magadan,RU,59.911,150.72
KVM,Markovo Airport,Markovo,Chukotka,RU,64.667,170.41701
PWE,Pevek Airport,Pevek,Chukotka,RU,69.7833,170.597
SWV,Severo-Evensk Airport,Evensk,Magadan,RU,61.92167,159.23
BQG,Bogorodskoye Airport,Bogorodskoye,Khabarovsk,RU,52.38,140.448
NLI,Nikolayevsk-na-Amure Airport,Nikolayevsk-na-Amure Airport,Khabarovsk,RU,53.155,140.64999
OHO,Okhotsk Airport,Okhotsk,Khabarovsk,RU,59.41006,143.0565
PKC,Yelizovo Airport,Petropavlovsk-Kamchatsky,Kamtsjatka,RU,53.1679,158.45399
